unit_id,article_title,article_content,source,date,location,labels,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,label
1962495682,Dozens Killed Injured in Terrorist Missile Attack on Syrias Aleppo Hospital,"Tue May 3 2016 Dozens Killed Injured in Terrorist Missile Attack on Syrias Aleppo Hospital. At least ten people have been killed and dozens injured after terrorists launched a rocket on Dabbit hospital in Aleppo a source in the Syrian militia said. Casualties are also reported in Al-Zahra quarter after a car bomb explosion. ""A powerful explosion occurred in the al-Zahra quarter after terrorists detonated a car bomb there are fatalities among the residents many have been wounded with the numbers difficult to estimate at the moment"" he told RIA Novosti. ""Terrorists carried out missile attack on the Dabbit hospital in Aleppo killing more than 10 visitors leaving dozens of people injured there are [wounded] in very serious condition"" the source told RIA Novosti. The hospital which was under the control of government forces was targeted by a radical rebel group Syrian state TV reports. The facility is said to be completely ruined after the attack. ""A large number of Nusra Front terrorists and their allies are taking part in an attack on Aleppo from the direction of the scientific research center. The army and militia as repelling the attacks with the help of Syrian air force planes"" the source told RIA Novosti. Earlier in the day the Nusra Front terrorist group launched 60 missiles in an attack on the Syrian city of Aleppo killing nine people Sputnik reported. 212-11",alalam,5/3/2016,aleppo,0,,,,,0
1965511184,3 Civilians Killed 38 Injured in Terrorist Rocket Attacks in Deir Ezzor Aleppo,06-06-2016 3 Civilians Killed 38 Injured in Terrorist Rocket Attacks in Deir Ezzor Aleppo. Two civilians were killed and three others were injured in terrorist rocket attacks on neighborhoods in Deir Ezzor city. Two civilians were killed and three others were injured in terrorist rocket attacks on neighborhoods in Deir Ezzor city. A source at Deir Ezzor Governorate told SANA reporter on Wednesday that ISIL terrorists fired at dawn several rocket shells on al-Qusour and al-Joura neighborhoods in the city. The terrorist attacks according to the source claimed the lives of two persons and injured three others and caused material damage to the public and private properties where the shells fell. Aleppo In the same context a woman was killed and 35 others were injured in terrorist attacks with rocket shells on residential neighborhoods in Aleppo city in a new breach to the cessation of hostilities. A source at Aleppo police command said in a statement to SANA reporter that terrorist groups targeted on Wednesday morning al-Shrafiyeh neighborhood with rocket shells killing a woman and injuring four other civilians. 17 other civilians were injured in Mogambo neighborhood while another one was injured in attacks on al-Hamadaniyeh neighborhood. The injured persons were taken to hospitals for treatment. The terrorist attacks according to the source caused material damage to the infrastructure and the locals houses and properties. The terrorist groups targeted the charitable clinic of al-Ihsan association in al- Mogambo with rocket shells injuring three persons from the medical staff in addition to five patients including a woman who aborted due to injuries. Other rocket shells fired by terrorists on al-Ramouseh neighborhood injured two civilians. Local sources told SANA reporter that rocket shells fell on al-Sheikh Maqsoud neighborhood injuring three civilians. Eight persons wounded in Foaa and Kefraya in Idleb Meanwhile civil sources told SANA that 8 persons among them two children were wounded in terrorist rocket shells on al-Foaa and Kefraya in Idleb countryside. On Tuesday seven civilians including a child and a woman were killed and 13 others were injured in terrorist attacks with rocket shells and sniper shots on Bab al-Faraj al-Neel street and al-Assad suburb in al-Hamadaniyeh al-Ramouseh and new Aleppo. The Russian center for monitoring and coordination of the cessation of hostilities registered 604 breaches by terrorist groups since it came into effect on February 27.,manar,6/6/2016,deir ezzor,0,,,,,0
1926479289,Factbox: Syrias city of Hama site of new assault,August 1 2011 Factbox: Syrias city of Hama site of new assault. Syrian tanks shelled the central city of Hama Monday killing four civilians residents said a day after rights groups said security forces killed 80 there in one of the bloodiest days of the five-month-old uprising against President Bashar al-Assad. Here are some details about the city which was the site of a massacre in 1982: * 1982: - In the late 1970s and early 1980s Syrias Muslim Brotherhood sought to destabilize and unseat President Hafez al-Assad and his government through political assassinations and urban guerilla warfare. In February 1982 the Muslim Brotherhood ambushed government forces searching for dissidents in Hama. - Syrian government forces attacked the city razing the old quarters of Hama to crush the armed uprising by Brotherhood fighters who had taken refuge there. - Estimates of the death toll in the three weeks of operations in Hama vary from 10000 to more than 30000 out of a population of 350000. Syria then imprisoned much of the membership of the local Islamist group. - Syrian human rights groups said that women children and the elderly were among those killed in the crackdown and thousands were forced to flee the city. * 2011: - In June activists said Syrian forces killed at least 60 protesters in the city. Residents said security forces and snipers had fired on crowds of demonstrators. - Assad sacked the governor of Hama province on July 2 a day after tens of thousands of protesters massed in the provincial capital to demand the Syrian leader step down. - The demonstration in Hama was part of nationwide protests which activists said were some of the biggest since the uprising against Assads rule erupted in mid-March. - In a symbolic show of solidarity U.S. ambassador Robert Ford and French ambassador Eric Chevallier visited Hama on July 8 to put pressure on Assad not to crush the protest. Syria condemned the action and summoned them to Damascus on July 10. - Ford had only arrived in Damascus in January. After he posted a letter on the embassys Facebook page a mob stormed the embassy compound July 11 tearing down plaques. - On July 31 a tank-backed assault killed at least 80 people in Hama rights groups said. The state news agency said the military was purging armed groups that were terrorizing citizens. Monday tanks shelled a northeastern district of Hama killing four more civilians two residents said. * ABOUT HAMA: - Hama has been settled as far back as the Bronze Age and Iron Age. Famous for its citadel and its ancient Norias (waterwheels) the younger Assad and his government has sought to promote the city as a tourist destination. - Hama Syrias fourth biggest city has a mostly Sunni Muslim population of 700000. It lies about 210 km (131 miles) north of Damascus. Sources: Reuters/www.globalsecurity.org/homsonline (Writing by David Cutler London Editorial Reference Unit) Our Standards:The Thomson Reuters Trust Principles.,reuters,8/1/2014,hama,0,,,,,0
1924058139,At least 100 civilians dead in toxic gas attack in Syrias Idlib,"Published April 4 2017 The Assad regime has used chemical weapons once again killing at least 100 civilians including children in an airstrike that released on the opposition-held Idlib. Thirty ambulances were dispatched from Turkey to rescue those in dire need of help. The Assad regime continues to commit crimes against humanity as more than 100 civilians were killed and 500 others mostly children have been affected by the chlorine gas attack carried out by regime warplanes in the Khan Shaykun town in Idlib. The latest chemical attack was seen as the worst in the countys six-year war. With many civilians suffering respiratory problems in dire need of help Turkey dispatched 30 fully equipped ambulances for rescue operations. The reports claim that it was the third chemical attack in over a week in Syria as the Assad regime consistently targets residential areas. The first two attacks were reported in Hama province an area close to yesterdays chemical attack. After the gas attack the Syrian regime reportedly bombarded a hospital in the town where doctors were treating victims. Turkey condemned the chemical attack on Syrias opposition-held town of Idlib describing it as ""a crime against humanity."" The chemical attacks on Idlib were ""inhuman"" and ""unacceptable"" President Recep Tayyip Erdogan said while stressing the importance of maintaining the fragile Syrian cease-fire. In a phone conversation with Russian President Vladimir Putin the president reiterated the need for further efforts to strengthen cooperation in the fight against terrorism. Foreign Minister Mevlt avuïÅolu also stated that the suspected use of chemical weapons could derail the process of Syrian peace talks being held in Astana Kazakhstan. The parallel series of talks in Astana Kazakhstan aim to bolster the truce to support the U.N. negotiations. Damascus has been the scene of heavy fighting in recent days with the moderate Syrian opposition making large incursions into the east of the Syrian capital while the Assad regime has responded with airstrikes on opposition positions. The last round of Astana talks began on Feb. 23 and ended on March 4 without any clear result. The next meetings in Astana are to be held on May 3-4. The global chemical arms watchdog said it was ""seriously concerned"" by reports of a suspected gas attack. ""The Organization for the Prohibition of Chemical Weapons (OPCW) is seriously concerned about the alleged chemical weapons attack reported by the media this morning in the Khan Sheikhun area of southern Idlib"" the group said adding it was ""gathering and analyzing information from all available sources."" Chlorine gas is one of several elements and compounds used in devastating chemical attacks outlawed by international treaties. A high level of exposure to the gas can cause suffocation as the chemical injures the pulmonary airways resulting in severe fluid buildup in the lungs with children and seniors particularly vulnerable. In the wake of the 2013 attack Assad agreed to a Russia-sponsored deal to destroy his chemical arsenal and joined the Chemical Weapons Convention. His government declared a 1300-ton stockpile of chemical weapons and so-called precursor chemicals that can be used to make weapons amid international outrage at a nerve gas attack on the outskirts of Damascus. Those weapons have been destroyed but member states of the OPCW have repeatedly questioned whether Assad declared everything in 2013. The widely available chemical chlorine was not covered in the 2013 declaration and activists say they have documented dozens of cases of chlorine gas attacks since then. The Syrian government has consistently denied using chemical weapons and chlorine gas accusing the rebels of deploying it in the war instead. Frances foreign minister called for an emergency meeting of the United Nations Security Council after what he said was a ""disgusting"" gas attack on Syrias rebel-held Idlib province. ""In the face of such serious actions that threaten international security I ask for everyone not to shirk their responsibilities. With this in mind I ask for an emergency meeting of the U.N. Security Council"" he added. France Britain and the United States in February put forward a resolution to impose sanctions targeting Syrian government officials over accusations of chemical weapon attacks during the six-year conflict. The international inquiry found Syrian regime was responsible for three chlorine gas attacks and that Daesh militants had used mustard gas.",dailysabah,4/17/2017,idlib,0,,,,,0
1924058082,Russian strikes kill 10 in Aleppo,"8 Jun 2016 Russian air strikes in Aleppo Syria killed ten civilians on Tuesday. Two of the victims were minors. Russian jets drop phosphorus and cluster bombs in Syrias Aleppo - YouTube Russian warplanes struck Maaret-al-Numan a city south of Idlib with cluster munitions according to Turkeys state-run news agency Anadolu. The UN deputy spokesman in February 2016 condemned Russian strikes in Syria saying the attacks were ""blatant violations of international laws"" that ""are further degrading an already devastated health care system and preventing access to education in Syria."" More than 550 civilians have been killed in the last two months in Syria because of the attacks carried out by forces of the Syrian regime according to The Syrian Observatory for Human Rights. Source AA Related News Iraqs vote violations | The global gag rule | Slovenian elections Thousands of Afghan migrants walk into Turkey for a better life Is Boris Johnson using Islamophobia to win votes? Are Donald Trumps new abortion policies just? Category News The blunders of MBS and how Saudi Arabia can reclaim its sovereignty Sudanese President Bashir dissolves government appoints new PM Summit in Tehran calls for political solution in Syria Talks in Tehran are a last-ditch effort to avoid another Syrian bloodbath A picture is worth a thousand words. Follow us on Instagram. FOLLOW TRTWORLD Dont miss out on the Latest News We wont spam you and we respect your privacy. SUBSCRIBE TRT World on Youtube Subscribe to our Youtube channel for all latest in-depth on the ground reporting from around the world. Subscribe TRT World on Facebook Like Follow Follow Copyright ïÅ 2018 TRT World. TRT World Watch Live TV Schedule Where to Watch Connect with TRT World iOS Android Youtube Satellite Coverage Partner Hotels Corporate About TRT World Careers Press Releases Documentary Contact Us Legal Terms of Use Privacy Policy Cookie Policy",trt,6/8/2016,aleppo,0,,,,,0
1923848216,10 Syrian troops killed in clashes with IS Monitor,10 Syrian troops killed in clashes with IS Monitor AFP Tuesday 14 Oct 2014 IAt least 10 Syrian soldiers were killed on Tuesday in clashes with Islamic State group jihadists in the eastern province of Deir Ezzor a monitor said. The Britain-based Syrian Observatory for Human Rights said the deaths came in fighting in Hawijat Sakr on the Euphrates River. The clashes took place not far from Deir Ezzor military airport a key remaining post for the Syrian army in the oil-rich province. The Islamic State controls the majority of the province but parts of the provincial capital Deir Ezzor city are still in government hands along with the airport. Deir Ezzor has been a key target of strikes against IS by the US-led coalition fighting the jihadist group in Syria and Iraq. When the raids began IS withdrew from several of its positions and there have been few reports of active clashes involving the group in the province since. Elsewhere in Syria the Observatory reported at least 12 people killed in Syrian regime air strikes on the Ain Tarma area outside the capital Damascus. Among the dead were three children the Observatory said. The neighbourhood to the east of Damascus is under rebel control and is one of the areas regime forces have been battling to recapture from the opposition around the capital. Although government forces control Damascus rebels often fire missiles into the city from several strongholds on its outskirts. On Tuesday the regime also carried out air strikes against Irbin another rebel-held area east of Damascus the Observatory said. The strikes killed five people although the group said the toll was likely to rise because several of the wounded were in serious condition.,ahram,10/14/2014,deir ezzor,0,,,,,0
1923848320,Five dead in blast by security HQ in central Syria NGO - Region - World - Ahram Online,"Five dead in blast by security HQ in central Syria NGO AFP Thursday 6 Mar 2014 At least five people were killed and more than 20 wounded on Thursday in a bomb blast near a security headquarters in Syrias central Hama city a monitor said. ""A truck packed with explosives detonated... near a branch of the military intelligence killing at least five people and injuring more than 20"" the Syrian Observatory for Human Rights said. Syrian state television also reported the blast saying four people had been killed and 22 wounded in a ""terrorist explosion"" at the southern entrance of the city. In the northern province of Raqa two suicide bombers exploded inside base 17 an army base under siege by opposition forces according to the Observatory a Britain-based group that relies on activists and other witnesses inside Syria. The group said two fighters from the jihadist Islamic State of Iraq and the Levant had blown themselves up at the headquarters which is north of the groups stronghold in Raqas provincial capital. Clashes between regime forces and ISIL broke out after the blasts which the Observatory said killed several soldiers. In Damascus meanwhile the group said a man died after regime shelling a day earlier on the Palestinian Yarmuk camp where a ceasefire has broken down. The renewed fighting has halted aid delivery efforts to the besieged camp where two more people died from lack of food and medical care on Wednesday the Observatory said. Around 130 people are reported to have died because of shortages in the camp caused by the tight army siege. More than 140000 people are estimated to have been killed since the start of the uprising against President Bashar al-Assad in March 2011.",ahram,3/4/2014,hama,0,,,,,0
1923102976,Russian strikes kill 53 civilians in Syrias Deir az-Zour,"Date of publication 27 November 2017 At least 53 civilians including 21 children died on Sunday when Russian air strikes hit residential buildings in a village held by Islamic State militants. Tags Russia Syria Assad Deir az-Zour Islamic State SOHR At least 53 civilians including 21 children perished early Sunday morning when Russian air strikes hit ""residential buildings"" in a village held by the Islamic State group in eastern Syria a monitor said. The Britain-based Syrian Observatory for Human Rights said the strikes hit the village of Al-Shafah in Deir az-Zour province on the eastern bank of the Euphrates River. The Observatory relies on a network of sources inside Syria and says it determines whose planes carry out raids according to type location flight patterns and munitions used. The monitor had initially given a death toll of 34 civilians but the number spiked after more bodies were recovered. ""The toll increased after removing the debris in a long day of rescue operation"" Rami Abdel Rahman head of the Syrian Observatory for Human Rights told AFP adding the strikes hit ""residential buildings"". At least 18 people were also wounded in the air raids he added. Russia is a close ally of Syrias President Bashar al-Assad and in September 2015 began a military intervention in support of his government that has gradually helped Damascus regain territory. Syrias Deir az-Zour is one of the last places IS jihadists hold territory in the country after being driven from their major strongholds including their one-time de facto Syrian capital Raqqa city. The oil-rich eastern province that borders Iraq was once almost completely under IS control but the jihadists now hold just nine percent of Deir az-Zour according to the Observatory. They have faced two separate offensives there one led by the regime with Russian backing and the other by the US-backed Syrian Democratic Forces an alliance of Kurdish and Arab fighters. Russia in drivers seat The latest strikes come as the United Nations tries to revitalise its flagging efforts to end a six-year civil war that has left Syria devastated and huge swathes of its population refugees. Syrias Deir az-Zour [click to enlarge] On Tuesday the eighth round of UN-brokered talks will kick off. They have achieved little so far but may be bolstered by the oppositions decision to bring a unified delegation to Geneva for the first time. For progress to happen rival sides will need to overcome the hurdle that has derailed past discussions the fate of Syrian President Bashar al-Assad. He retains Moscows support but is loathed by much of Syrias rebel opposition who want him gone. Backed by Russias decisive military support Assads government has regained control of 55 percent of the country including major cities Damascus Aleppo Homs and Hama and around two-thirds of the population lives in regime-held areas. The rest is carved up between rebel factions jihadists and Kurdish forces. Some experts believe that Russia has clearly put itself in the drivers seat in recent months especially as US President Donald Trumps administration has pulled back from Syrian diplomatic front. Russia fellow regime ally Iran and rebel-backer Turkey have hosted negotiations in the Kazakh capital Astana that led to the creation of four ""de-escalation zones"" which produced a drop in violence though deadly air strikes and battles continue in some areas. And this week Russian President Vladimir Putin called for a ""congress"" of Syrian regime and opposition figures a move backed by Ankara and Tehran. The Syrian conflict began when the Baath regime in power since 1963 and led by Assad responded with military force to peaceful protests demanding democratic reforms during the Arab Spring wave of uprisings triggering an armed rebellion fuelled by mass defections from the Syrian army. The brutal tactics pursued mainly by the regime which have included the use of chemical weapons sieges mass executions and torture against civilians have led to war crimes investigations. Read Also",alaraby,11/27/2017,deir ezzor,0,,,,,0
1923848189,Bomb rockets kill 19 civilians in Syrias Aleppo Monitor,"Bomb rockets kill 19 civilians in Syrias Aleppo Monitor AFP Thursday 9 Jul 2015 At least 19 civilians including five children were killed by a Syrian regime barrel bomb attack and rebel rocket fire in Aleppo a monitoring group said on Thursday. Fifteen of the dead among them four of the children came in the barrel bomb strike on a rebel-held district of the divided northern city the Syrian Observatory for Human Rights said. ""The children were aged under 10"" said Observatory chief Rami Abdel Rahman adding that a pregnant woman was also among Wednesdays dead. The crude explosives-filled container hit a building in the northeastern neighbourhood of Karam al-Beik as residents were sitting down to the iftar meal which breaks the daytime fast observed during the Muslim holy month of Ramadan. The other four civilians were killed by rebel rocket fire on the government-held district of Midane the Observatory said. For the past three years Syrias pre-war economic hub has been divided between a government-held western sector and a rebel-held eastern one. The rebels launched a major offensive in the first week of July to try to advance the front line. More than 220000 people have been killed in Syria since the conflict began with anti-government protests in March 2011 that were met with a bloody crackdown.",ahram,7/9/2015,aleppo,0,,,,,0
1965511195,Several Syrians Killed Injured in Homs Suicide Blasts- Al Manar TV Website Archive,05-05-2016 Several Syrians Killed Injured in Homs Suicide Blasts. Several people were killed and injured in twin terrorist attacks that hit Homs eastern countryside. Several people were killed and injured in twin terrorist attacks that hit Homs eastern countryside. SANA news agency reported the attack quoting Homs Governor Talal al-Barazi as puting the death toll at six and the number of injured at 28. The terrorists blew up a car and a motorcycle in al-Mukhraam al-Fouqani town in the eastern countryside of Homs province the agency said according to Barazi.,manar,5/5/2016,homs,0,,,,,0
