article_title,article_content,label
Interesting Psak: Shul and the Corona Virus,"Feb 5, 2020 Interesting Psak: Shul and the Corona Virus This is a bit too brief for my liking, but Actualic bring an interesting psak about going to shul during this scare of the Corona Virus. According to the report, some Jews from China sent a question to a special beis din in Bnei Braq established to deal with medical issues and halacha headed by Rav Shmuel Eliezer Stern. These Jews in China are concerned about the spread of this dangerous Corona Virus and want to know if they should continue to go to shul to daven with a minyan or if they should avoid it out of fear of getting infected with the virus? The answer from the beis din was that we have to be more stringent regarding situations of danger than regarding situations of transgressing prohibitions. Ergo, if there is even a slight concern about the virus spreading and getting infected by going to shul,. one should not go to the shul. I guess this means it is not a blanket hetter to stay home, but if in the location where any specific person is there is a valid concern of the virus, one should stay home. If where you are there has been no virus and there is no real concern, then go to shul. Rav Chaim Kanievsky, and other rabbonim, have been asked similar questions and have answered similarly, adding that the professional authorities dealing with the issues should be listened to and instructions followed to avoid getting exposed to the virus. Everyone should stay healthy!",0
ARTS AND CULTURE IMPACTED BY CORONA VIRUS,"The Boston Symphony Orchestra has cancelled its coming tour of Asia amid concerns about the deadly corona virus in China. The orchestra’s CEO said the decision was made out of concern for the health and well-being of its musicians. The four city tour was scheduled across South Korea, Taiwan and Hong Kong next month. The orchestra joins a growing list of arts, sports and cultural events that have been cancelled across the China as over 50 million people remain under a government lock down. Post navigation Shen Yun 2020 Zoomer Radio is the official radio sponsor of the all-new “Shen Yun 2020” at The Living Arts Centre in Mississauga on January 8 to 12 and the Four Seasons Centre in Toronto from March 24 to 29. Shen Yun is an unmatched theatrical experience that takes you on a journey to discover 5,000 years of wisdom, beauty, drama and humour live on stage with a full orchestra. For tickets go to shenyun.com Jan 8 MOTHER'S DAUGHTER January 14 to February 9 Keep your enemies close, and your family closer. The Tudor throne is empty, and three would-be Queens contend for the crown. Sisters turn against each other in a deadly struggle that threatens to tear the country apart. With Hennig’s trademark style and wit, the story of ‘Bloody Mary’ becomes a thrilling contemporary exploration of women and power.",0
Cure for corona virus disease,"According to an old source, ribavirin and interferon alpha-2b have been found as potential treatment for a strain of corona virus. An article in webmd told us: (1) ""A treatment for a new coronavirus that has caused 11 deaths, mostly in the Middle East, shows promise in early tests, U.S. government researchers report. The investigators discovered that a combination of two antiviral drugs -- ribavirin and interferon-alpha 2b -- can stop the so-called nCoV coronavirus from multiplying in laboratory-grown cells. While the results suggest that this drug combination could be used to treat patients infected with nCoV, more research is needed to confirm these early findings. Both drugs are approved in the United States for treating people with hepatitis C. The nCoV coronavirus was first identified in Saudi Arabia in September 2012. As of April 16, 2013, there had been 17 reported cases, including 11 deaths. Most cases have occurred in the Middle East."" But such a finding was only in early investigation phase. We don't know yet what is the latest update of such a new potential treatment. Nonetheless, a fast response to nCoV epidemics spreading by medical institutions is urgently in need.",0
Bharatpur Hospital sets up isolation ward for corona virus patients,"Kathmandu, 1 February : Bharatpur Hospital has maintained high alert after the epidemic of corona virus spread from neighbouring country China. For the patients suspected of corona virus, it has set up an isolation ward. According to hospital officials, an isolation ward has been established for the suspected of corona virus patients in case of detection and prompt action. At the initial phase isolation ward has five beds.",0
TOP CDC OFFICIAL: ‘WE’LL JUST GET RID OF ALL WHITES IN THE UNITED STATES’ WHO REFUSE VACCINES,"A top Center for Disease Control official was caught on tape in 2016 saying that society should “get rid of of all the whites in the United States” to reduce the number of people who refuse vaccines.  Dr. Carol Baker made the alarming remarks during the “Achieving Childhood Vaccine Success in the U.S.” panel discussion sponsored by the National Meningitis Association in New York City on May 9, 2016.  “So I have the solution. Every study published in the last five years, when you look at vaccine refusers,” Baker told the panel. “I’m not talking about…hesitance, most of them we can talk into coming to terms. But refusers. We’ll just get rid of all the whites in the United States…Guess who wants to get vaccinated the most? Immigrants.” Notably, Baker was appointed Chair of the CDC’s Advisory Committee on Immunization by Obama’s Health and Human Services Secretary Kathleen Sebelius in 2009.  The Houston doctor was also honored with the Sabin Vaccine Institute’s 2019 Albert B. Sabin Gold Medal at a Washington D.C. ceremony sponsored “in part by the Bill & Melinda Gates Foundation and Pfizer.”  Is is really that surprising a Bill Gates-connected CDC official openly suggested depopulating whites who don’t cooperate with their mandatory vaccine agenda?",0
`People's War' on the Corona Virus - Bill Bishop ,"Crash project to build a 1,000 bed hospital in Wuhan ""People's War"" on the virus; Expanding quarantine efforts by Bill Bishop The People’s Daily said in a front page commentary Tuesday that the country is in a “People’s War” with the virus. So far the virus continues its advance, per the latest official figures from Caixin : 20,522 confirmed cases in China; 426 deaths in China; 23,214 suspected cases in China Do not be surprised to see a jump over the next few days in Wuhan and Hubei cases as the number of hospital beds and quarantine facilities increase, more medical personnel arrive from other provinces and testing capacity improves. The propaganda organs are all emphasizing Xi’s leading role in responding to the outbreak, but there have been no new images of him in the leading propaganda outlets since January 28. There have been periods in the past where he has “disappeared” from view for several days, but this “absence” in the midst of a crisis is spurring rumors even faster than usual. I am not buying the rumors going around that he is sick or been removed in a coup, and I caution readers against putting much stock in those. One of the key political tasks of all party members is to protect the core, i.e. Xi Jinping, and while you would think the “people’s leader” would want to be seen close to the people perhaps in this case the risk of him catching the virus may be too high, and images of him wearing a mask might be anathema to the propaganda wizards. That said, I do not know what is going on, it is something I am paying a lot of attention to, but in the absence of any evidence I remain skeptical of the rumors. I will bet that Xi and the other top leaders in the Party and the military understand that they either all hang together in this crisis or they may all hang separately, to paraphrase Benjamin Franklin. This is a long issue, I recommend you click on the headline at the top of this post to read it in full in your browser. Thanks for reading.",0
"EBONY Announces EBONYCon, a 4-Day Virtual Conference Providing Resources to Black Community in the Midst of COVID-19","For over 75 years, EBONY and JET Magazines have been on the frontlines of social and civil injustice. The EBONY Foundation, the national nonprofit arm of EBONY Capital Partners, LLC, was established to take a grassroots approach to community outreach. In keeping with its charter, the organization is launching a 4-day virtual event and weekend, beginning Friday, April 24th, focused on providing resources and information to the black community in the midst of the COVID-19 pandemic. A dedicated website for the conference is www.ebonyjet.org . The first day of the conference will focus on bringing support and healing to religious institutions. Churches will learn how to benefit from the landmark decision deeming faith-based organizations eligible for federal government relief. Speakers scheduled to appear, include Senator Tim Scott,(R-SC),Rev.Dr.Samuel C. Tolbert Jr., president of the National Baptist Convention of America International Inc. (NBCA). Day two of EBONYCon in partnership with the National Black Business League will be a series of master classes on fostering entrepreneurship and how to survive and thrive during this pandemic. Speakers scheduled include corporate and entertainment lawyer Walter Mosley, Brittney Escovedo, founder of Beyond8, and Dr. George C. Fraser, recently named “Black America’s #1 Networker” by Black Enterprise Magazine and one of the “Top 50 Power Brokers in Black America” by UPSCALE Magazine. Day three of EBONYCon will focus on providing health and wellness information and resources to the black community. Speakers scheduled include cardiologist William James Mosley II, MD and include a morning workout session with celebrity trainer Agostina Laneri. The final day of EBONYCon is dedicated to highlighting active entrepreneurs, scientists, activists, and thought leaders in the cannabis industry. EBONYCon’s cannabis segment will begin with a “Run 2 High” virtual 5k race, and session topics including “Excellence in Cannabis Medicine,” “Excellence in Cannabis Business,” “Women of Cannabis,” and” Excellence in Cannabis Advocacy,” to name a few. EBONYCon’s cannabis day will feature speakers including renowned cannabis scientist Dr. Rachel Knox, founder of American Cannabinoid Clinics, cannabis accounting expert, and founder of Dope CFO, Naomi Granger, and Dr. Sandra Carrillo, co-CEO, SaviAndina Organics, among others. Cannabis business connector, and writer, Andre Bourque, calls the virtual conference a first step for the media organization. “This is foundational to building a cannabis vertical for this historical brand, dedicated to people of color,” said Mr. Bourque.",0
Corona and sport cancellations: China stops doping controls,"0 Share W does he remember Zika? Long time no longer heard. In February 2016, five months before the Rio de Janeiro Olympic Games, the World Health Organization (WHO) declared global health emergency due to the mosquito-borne virus. The games were held under safety precautions, and the WHO lifted the state of emergency in November 2016. In November 2019, the Federal Foreign Office’s health service announced that the number of cases in Central and South America was declining. So much for the good news. The bad news: the corona virus causes far more problems than Zika. The disease has long led to cancellations. The Formula E race planned for March 21 in Sanya on the Chinese holiday island of Hainan is canceled. The same is threatening the Formula 1 Grand Prix, which is to be held at Shanghai four weeks later. At the end of last week, the organizers of the Tokyo Olympic Games had to emphasize that a cancellation of the games is currently not being considered. On Monday, Prime Minister Shinzo Abe said they were working with the WHO to avoid negative effects on the games. Olympic organizers and association officials want to advise on how to deal with the virus. Since the weekend, Japan has been refusing entry to foreigners who have been in the Chinese province of Hubei in the past two weeks. Even people who have a passport issued in Hubei are no longer allowed to go to Japan. Manon Priebe Recommendations: 54 In Australia, Prime Minister Scott Morrison’s government imposed an almost complete ban on travelers from China. Exceptions are made only for Australian citizens, permanent residents and their relatives. The conservative head of government, heavily criticized for the ongoing climate and bushfire crisis, is resorting to rigorous means. The Asian Football Confederation is quickly coming under pressure. She had placed Chinese clubs’ home games at the end of the Champions League group stage at the end of next week – and more likely to give them a competitive advantage. However, Shanghai Shenhua is due to start in Perth next Tuesday, Shanghai SIPG the next day at Sydney FC – impossible under Morrison’s policies. This Tuesday, the East Asian associations want to advise how to deal with the Corona crisis. Hosting in a neutral place? That would not do justice to the fear of contagion expressed in Morrison’s entry ban, as it may seem exaggerated. Shift? Cancellation? The continental futsal tournament, scheduled for three weeks in Turkmenistan, has been postponed indefinitely. This also shows that Corona has been the greatest health challenge in sport in recent years. China’s anti-doping agency said on Monday that it had decided to suspend doping controls until further notice. Health protection is given as the reason. Who is this good news for? Not for equal opportunities, viewed objectively. If you look at doping plans from the past, you have black and white in front of you: the best performances of summer are made in winter. And how much of the competition is infected by the suspicion is not only demonstrated by every start of the Chinese swimmer Sun Yang. In any case, nothing can be heard of the end of the cynicism, which has already and especially in China, won in the fight of the Communist Party against Corona. ,",0
The Corona Virus—1918 All Over Again?,"Clusters of a dozen or so deaths may get nonstop “if-it-bleeds-it-leads” press coverage. But the lack of preparedness for the really, really big threats may be met with virtual radio silence—until panic breaks out. The worst, possibly existential, threat is the stealthy, invisible one that multiplies exponentially—in the accurate sense of the term: 400 cases today, 800 tomorrow, then 1600, 3200, 6400, 128000, 256000, 512000, and 1.024 million after only eight doubling times. Biological threats proliferate—until they run out of susceptible victims. In 1918, the great influenza pandemic killed as many people in 11 months as the medieval Black Death did in 4 years. Ultimately, at least 50 million may have perished. Young healthy people, especially young soldiers headed off to the front in World War I, succumbed quickly. To avoid interfering with the war effort, the U.S. government denied and covered up the threat, preventing the implementation of public health measures. Since then, the world has gotten smaller. A virus that jumps the species barrier from animals to humans in a meat market in China can cross the Pacific in hours. And despite the expenditure of $80 billion on a National Biologic Defense, the U.S. is arguably no better prepared than it was in 1918, state Steven Hatfill, M.D., and coauthors in their new book Three Seconds until Midnight . As in 1918, we lack a vaccine or wonder drugs, but must rely on non-pharmaceutical interventions (NPI), and on public health authorities to track and try to contain the spread of infection. Accurate information is critical. Can we trust governmental authorities to tell the truth? Travel restrictions, quarantine, closing businesses, and cancelling public events have a huge economic and potential political cost. There can also be incentives to exaggerate the threat, in order to sell poorly tested vaccines or drugs. The 1976 swine flu epidemic was almost a non-event; more people were probably injured or even died from adverse effects of the heavily promoted vaccine. The World Health Organization (WHO) has so far declined to declare the corona virus outbreak a global emergency, although cases have been reported in more than a dozen or so countries. China reported only hundreds of “confirmed” cases—while countless additional cases were not tested because of lack of diagnostic test kits. The New England Journal of Medicine writes , “Another Decade, Another Coronavirus.” This 2019-nCoV virus is the third zoonotic (animal) coronavirus to infect humans in two decades. The SARS (severe acute respiratory syndrome) and MERS (Middle East respiratory syndrome) were contained. Other coronaviruses cause mild cold-like syndromes. This virus has occasioned the quarantine of entire cities, for the first time since medieval times. This could not be done other than in authoritarian China, states virologist Steven Hatfill , but even there is unlikely to be effective—especially if 5 million people had left before the order was implemented. The People’s Liberation Army has sent 450 medical personnel to Wuhan to help out at local hospitals, which are crammed with patients lying in packed corridors. Construction workers are reportedly trying to build a 1,000-bed hospital in Wuhan in five days. The U.S. and other nations are evacuating their citizens from Wuhan. A report of 41 hospitalized patients in Wuhan, published in The Lancet , showed that patients were relatively young (median age 49) and fewer than half had an underlying illness. Only 66% had been exposed to the Huanan seafood market, the apparent source of the infection. One patient (2%) had no fever; all had pneumonia; 29% had severe respiratory distress syndrome; and 12% had acute cardiac injury. Most cases may be very mild, facilitating more rapid spread . The corona virus is transmitted by droplets coming into contact with mucous membranes, including the eye. It can persist on surfaces for days. People without fever or symptoms can transmit the illness during the incubation period, which might be as long as two weeks. At present, definitive diagnostic testing is available only from the Centers for Disease Control and Prevention (CDC) . In a severe outbreak, people whose job is not critical may need to stay home. Those who do not have a supply of food, essential medications, or other needed supplies would likely end up in a frantic crowd. Personal protective gear, for people who need to be in contact with the public or care for a sick family member, is already out of stock in medical supply houses. This includes gloves, wrap-around eye protection, and N-95 protective masks—regular surgical masks are probably of little help. Panic is never helpful; staying calm is always good advice. But failure to heed previous warnings of the need for robust disaster planning, and complacency about medical technology and governmental resources, has set the stage for potential unprecedented disaster. Individuals need to recognize that they themselves, and not 911 or the emergency room or the Federal Emergency Management Agency, may hold the key to their family’s and their community’s survival. Local authorities need to know that they may be on their own. For now, stock up on supplies; cover those coughs and sneezes; wash hands frequently for at least 20 seconds; avoid crowds; and stay aware, as the situation could change rapidly. Jane Orient Jane M. Orient, M.D., Executive Director of Association of American Physicians and Surgeons, has been in solo practice of general internal medicine since 1981 and is a clinical lecturer in medicine at the University Of Arizona College Of Medicine. She received her undergraduate degrees in chemistry and mathematics from the University of Arizona, and her M.D. from Columbia University…",0
Hospital Scrubs Market Outlook-Post Covid-19 Scenario,"The Hospital Scrubs Market 2020 report endows with an in-depth investigation of the market driving factors, opportunities, restraints, and challenges for obtaining the crucial insight of the Hospital Scrubs industry. The research and analysis mainly comprises of competitive study, production information analysis, applications, and region-wise analysis, competitor landscape, consumption and revenue study, cost structure analysis, price evaluation and revenue analysis to 2027. In this report, the total market is divided by company, by country, and by application or by type for the competitive landscape analysis. The market report is a professional, all-inclusive study on the present state of the ABC industry with a focus on the global market. Get Sample Report: To Know the Impact of COVID-19 on this Industry @ https://www.databridgemarketresearch.com/request-a-sample/?dbmr=global-hospital-scrubs-market The Hospital Scrubs Industry Report is an in-depth study analyzing the current state of the Hospital Scrubs Market. It provides a brief overview of the market focusing on definitions, classifications, product specifications, manufacturing processes, cost structures, market segmentation, end-use applications and industry chain analysis. The study on Hospital Scrubs Market provides analysis of market covering the industry trends, recent developments in the market and competitive landscape. Hospital Scrubs Market Research Report Offers the Below Industry Insights: Assessment of different product types, applications and regions Past, present and forecast Hospital Scrubs Industry structure is represented from 2020-2027 A brief introduction on Hospital Scrubs Market scenario, development trends and market status Top industry players are analyzed and the competitive view is presented The revenue, gross margin analysis, and market share is explained The growth opportunities and threats to Hospital Scrubs Industry development is listed Top regions and countries in Hospital Scrubs Market is stated Market strategy, share, opportunities and threats to the market development are mentioned The latest industry plans, policies, mergers & acquisitions are covered Lastly, conclusion, data sources and detailed research methodology is covered Global Hospital Scrubs Market Overview: Increasing cases of hospitals acquired diseases is expected to create new opportunity for the market. Some of the other factors such as increasing number of surgical procedures, increasing spending on healthcare infrastructure, growing concern associated with the hand hygiene and changing lifestyle of the people are expected to enhance the hospitals scrubs market in the forecast period of 2020 to 2027. For More Information or Query or Customization before Buying, Visit @ https://www.databridgemarketresearch.com/inquire-before-buying/?dbmr=global-hospital-scrubs-market Global Hospital Scrubs Market Segmented By Utility (Disposable, Usable), End- Users (Hospital, Ambulatory Surgical Centers, Clinics) The MAJOR BUSINESS PLAYERS associated with the Hospital Scrubs Market are 3M, BD, STERIS plc., Ecolab, Narang Medical Limited, Lords Wear Private Limited, ProexamineSurgicals Pvt. Ltd., Apothecaries Sundries Mfg. Co.., SUNNY ENTERPRISES, STERIKARE, Modular Healthcare System., among other domestic and global players. Development policies and plans are discussed as well as manufacturing processes and cost structures are also analyzed. This report also states import/export consumption, supply and demand Figures, cost, price, revenue and gross margins. Competitive analysis includes competitive information of leading players in Hospital Scrubs market, their company profiles, product portfolio, capacity, production, and company financials. Global Hospitals Scrubs Market Scope and Market Size Hospitals scrubs market is segmented on the basis of utility and end- users. The growth amongst these segments will help you analyse meagre growth segments in the industries, and provide the users with valuable market overview and market insights to help them in making strategic decisions for identification of core market applications. On the basis of utility, the hospitals scrubs market is segmented into disposable and usable. End- users segment of the hospitals scrubs market is bifurcated into hospital, ambulatory surgical centers and clinics. Browse Complete Report Details with Table of Content and Figures@ https://www.databridgemarketresearch.com/toc/?dbmr=global-hospital-scrubs-market Global Hospital Scrubs Market report provides details of new recent developments, trade regulations, import export analysis, production analysis, value chain optimization, market share, impact of domestic and localized market players, analyses opportunities in terms of emerging revenue pockets, changes in market regulations, strategic market growth analysis, market size, category market growths, application niches and dominance, product approvals, product launches, geographic expansions, technological innovations in the market. Hospital Scrubs Market Country Level Analysis Hospital Scrubs market is analysed and market size insights and trends are provided by country,source, form, grade and applicationas referenced above. The countries covered in the Hospital Scrubs market report are the U.S., Canada and Mexico in North America, Germany, France, U.K., Netherlands, Switzerland, Belgium, Russia, Italy, Spain, Turkey, Rest of Europe in Europe, China, Japan, India, South Korea, Singapore, Malaysia, Australia, Thailand, Indonesia, Philippines, Rest of Asia-Pacific (APAC) in the Asia-Pacific (APAC), Saudi Arabia, U.A.E, South Africa, Egypt, Israel, Rest of Middle East and Africa (MEA) as a part of Middle East and Africa(MEA), Brazil, Argentina and Rest of South America as part of South America. The country section of the Hospital Scrubs market report also provides individual market impacting factors and changes in regulation in the market domestically that impacts the current and future trends of the market. Data points such as consumption volumes, production sites and volumes, import export analysis, price trend analysis, cost of raw materials, down-stream and upstream value chain analysis are some of the major pointers used to forecast the market scenario for individual countries. Also, presence and availability of global brands and their challenges faced due to large or scarce competition from local and domestic brands, impact of domestic tariffs and trade routes are considered while providing forecast analysis of the country data. Buy the Latest Detailed with 30% Discount on this Report@ https://www.databridgemarketresearch.com/checkout/buy/singleuser/global-hospital-scrubs-market Report on (2020-2027 Hospital Scrubs Market Report) mainly covers 12 sections acutely display the global market: Chapter 1: To describe Hospital Scrubs Introduction, product scope, market overview, market opportunities, market risk, market driving force. Chapter 2: To analyze the top manufacturers of Hospital Scrubs , with sales, revenue, and price of CBD Edibles, in 2010 and 2020. Chapter 3: Hospital Scrubs , to display the competitive situation among the top manufacturers, with sales, revenue and market share in 2010 and 2020. Chapter 4: To show the global market by regions, with sales, revenue and market share of CBD Edibles, for each region, from 2010 Hospital Scrubs to 2020. Chapter 5, 6, 7, 8 and 9 To analyze the market by countries, by type, by application and by manufacturers, with sales, revenue and market share by key countries in these regions. Chapter 10 and 11 To show the market by type and application, with sales market share and growth rate by type, application, from 2010 CBD Edibles to 2020. Chapter 11 Hospital Scrubs market forecast, by regions, type and application, with sales and revenue, from 2020 to 2027 Hospital Scrubs . Chapter 12: To describe Hospital Scrubs sales channel, distributors, traders, dealers, Research Findings and Conclusion, appendix and data source. About Data Bridge Market Research: An absolute way to forecast what future holds is to comprehend the trend today! Data Bridge set forth itself as an unconventional and neoteric Market research and consulting firm with unparalleled level of resilience and integrated approaches. We are determined to unearth the best market opportunities and foster efficient information for your business to thrive in the market. Data Bridge endeavors to provide appropriate solutions to the complex business challenges and initiates an effortless decision-making process. Data Bridge adepts in creating satisfied clients who reckon upon our services and rely on our hard work with certitude. We are content with our glorious 99.9 % client satisfying rate.",0
