verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,label,article_title,article_content
half-true,Marco Rubio,"Military spending cuts, known as the sequester, were President Barack Obama’s idea.",2/12/2013,other,Molly Moorhead,2/12/2013,https://www.politifact.com/factchecks/2013/feb/13/marco-rubio/marco-rubio-says-sequester-was-obamas-idea/,1,,"Military spending cuts, known as the sequester, were President Barack Obama’s idea."
true,Rick Scott,Says the military accounts for about 10 percent of Florida's economy.,12/6/2010,news,Aaron Sharockman,12/7/2010,https://www.politifact.com/factchecks/2010/dec/07/rick-scott/rick-scott-says-military-makes-nearly-10-percent-f/,1,,Says the military accounts for about 10 percent of Florida's economy.
mostly-true,Barack Obama,"""14,000 Americans . . . lose their health insurance every single day.""",7/22/2009,news,Louis Jacobson,7/24/2009,https://www.politifact.com/factchecks/2009/jul/24/barack-obama/obama-claims-14000-lose-health-insurance-every-day/,1,,"""14,000 Americans . . . lose their health insurance every single day."""
true,Kevin Brady,"""Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas' sales tax deduction a decade ago.""",12/17/2014,news,W. Gardner Selby,12/23/2014,https://www.politifact.com/factchecks/2014/dec/23/kevin-brady/kevin-brady-says-sales-tax-deduction-has-saved-tex/,1,,"""Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas' sales tax deduction a decade ago."""
true,Alex Sink,"""Florida ranks last in the ratio of employees to residents... And Florida is dead last in the nation in state employee payroll expenditures per resident.""",9/13/2010,campaign,Amy Sherman,9/14/2010,https://www.politifact.com/factchecks/2010/sep/14/alex-sink/alex-sink-says-florida-last-two-state-employee-mea/,1,,"""Florida ranks last in the ratio of employees to residents... And Florida is dead last in the nation in state employee payroll expenditures per resident."""
mostly-true,Jerrold Nadler,"""In 2011, for example, the United Kingdom had 146 deaths due to gun violence; Denmark, 71; Portugal, 142; and Japan, 30. But last year, in the United States, almost 40,000.""",2/6/2019,testimony,Yanqi Xu,2/14/2019,https://www.politifact.com/factchecks/2019/feb/14/jerrold-nadler/does-us-have-more-gun-deaths-1-day-other-countries/,1,,"""In 2011, for example, the United Kingdom had 146 deaths due to gun violence; Denmark, 71; Portugal, 142; and Japan, 30. But last year, in the United States, almost 40,000."""
mostly-true,Anonymous Activist,"""500 percent more traffic here?""",5/19/2015,blog,W. Gardner Selby,6/9/2015,https://www.politifact.com/factchecks/2015/jun/09/anonymous-activist/austin-yard-signs-suggest-office-tower-project-cou/,1,,"""500 percent more traffic here?"""
half-true,Donald Trump,"Robert Mueller’s investigative team has ""13 hardened Democrats, some big Crooked Hillary supporters, and Zero Republicans.""",3/18/2018,social_media,Louis Jacobson,3/21/2018,https://www.politifact.com/factchecks/2018/mar/21/donald-trump/fact-checking-donald-trumps-claims-about-Mueller/,1,,"Robert Mueller’s investigative team has ""13 hardened Democrats, some big Crooked Hillary supporters, and Zero Republicans."""
mostly-true,Terry McAuliffe,"""All (Maryland) crabs are born in Virginia.""",7/21/2015,radio,Warren Fiske,7/27/2015,https://www.politifact.com/factchecks/2015/jul/27/terry-mcauliffe/terry-mcauliffe-says-all-maryland-crabs-are-born-v/,1,,"""All (Maryland) crabs are born in Virginia."""
half-true,Chris Devaney,"President Obama campaign surrogate Maryland Gov. Martin O’Malley ""acknowledged that we are not better off than we were four years ago.""",9/4/2012,blog,Michael Collins,9/21/2012,https://www.politifact.com/factchecks/2012/sep/21/chris-devaney/tennessee-gop-chairman-says-obama-surrogate-admits/,1,,"President Obama campaign surrogate Maryland Gov. Martin O’Malley ""acknowledged that we are not better off than we were four years ago."""
